REGION,EMPRESA,CONTRACTS
AREQUIPA,20485839462,1
AREQUIPA,20489517320,2
AREQUIPA,20511866481,1
AREQUIPA,20512419837,1
AREQUIPA,20527026238,1
AREQUIPA,20533979727,3
AREQUIPA,20534029927,1
AREQUIPA,20534297930,1
AREQUIPA,20545512662,1
AREQUIPA,20547097069,1
AREQUIPA,20548123888,1
AREQUIPA,20548865604,1
AREQUIPA,20551773923,1
AREQUIPA,20563373009,1
AREQUIPA,20571505488,1
AREQUIPA,20574662517,1
AREQUIPA,20600044622,2
AREQUIPA,20600178271,1
AREQUIPA,20600408888,1
AREQUIPA,20600678605,1
AREQUIPA,20600731611,1
AREQUIPA,20600929438,1
AREQUIPA,20601116082,1
AREQUIPA,20604675198,2
AREQUIPA,99000027401,2
AREQUIPA,99000028327,1
AYACUCHO,20102008066,1
AYACUCHO,20144691173,1
AYACUCHO,20218090550,1
AYACUCHO,20407412592,1
AYACUCHO,20476423539,1
AYACUCHO,20486404273,2
AYACUCHO,20486792001,1
AYACUCHO,20489517320,1
AYACUCHO,20489536979,1
AYACUCHO,20494226287,1
AYACUCHO,20494336112,1
AYACUCHO,20494397090,1
AYACUCHO,20494485118,1
AYACUCHO,20494637074,1
AYACUCHO,20494740673,1
AYACUCHO,20494947774,1
AYACUCHO,20517562158,1
AYACUCHO,20517623394,1
AYACUCHO,20527026238,1
AYACUCHO,20528917951,1
AYACUCHO,20534576146,1
AYACUCHO,20534604701,1
AYACUCHO,20534714981,1
AYACUCHO,20557209752,2
AYACUCHO,20574605980,1
AYACUCHO,20574750301,1
AYACUCHO,20600239598,1
AYACUCHO,20601143021,1
AYACUCHO,20604032246,1
CAJAMARCA,20355337619,1
CAJAMARCA,20439586665,1
CAJAMARCA,20453627951,1
CAJAMARCA,20453649840,2
CAJAMARCA,20481813841,1
CAJAMARCA,20495656234,1
CAJAMARCA,20495751229,1
CAJAMARCA,20495865747,3
CAJAMARCA,20495999352,2
CAJAMARCA,20496014686,2
CAJAMARCA,20496021038,2
CAJAMARCA,20496159811,4
CAJAMARCA,20529467606,2
CAJAMARCA,20529486902,1
CAJAMARCA,20529626330,2
CAJAMARCA,20529698918,3
CAJAMARCA,20535757811,1
CAJAMARCA,20554659242,1
CAJAMARCA,20560107006,2
CAJAMARCA,20570531787,1
CAJAMARCA,20600044207,1
CAJAMARCA,20600381726,2
CAJAMARCA,20601116082,1
CAJAMARCA,20601473454,1
CAJAMARCA,20601525594,1
CAJAMARCA,20602340547,1
CALLAO,10086203753,1
CALLAO,10232487149,1
CALLAO,20173126345,1
CALLAO,20232650444,1
CALLAO,20261295246,2
CALLAO,20296637697,1
CALLAO,20335343701,2
CALLAO,20379560742,1
CALLAO,20451738284,1
CALLAO,20476423539,1
CALLAO,20478157976,2
CALLAO,20478169559,3
CALLAO,20486960401,1
CALLAO,20488351398,1
CALLAO,20489539137,1
CALLAO,20489665604,1
CALLAO,20491305542,1
CALLAO,20493043073,7
CALLAO,20496183011,1
CALLAO,20501581951,1
CALLAO,20503953839,1
CALLAO,20506003351,1
CALLAO,20507503889,1
CALLAO,20508794968,1
CALLAO,20511317038,1
CALLAO,20513051833,1
CALLAO,20516080206,3
CALLAO,20517623394,1
CALLAO,20521401703,2
CALLAO,20522385442,1
CALLAO,20525051782,1
CALLAO,20525089917,2
CALLAO,20534004185,1
CALLAO,20542560780,1
CALLAO,20543060918,2
CALLAO,20546240852,1
CALLAO,20547097069,1
CALLAO,20547896026,1
CALLAO,20552671628,1
CALLAO,20553453845,1
CALLAO,20553668027,1
CALLAO,20563329107,1
CALLAO,20571493374,2
CALLAO,20600655095,1
CALLAO,20601500648,1
CALLAO,20602181139,1
